"","Keyword","Context"
"1","wild","Reintroduction, as an effective strategy for wild population recovery and genetic diversity maintenance for endangered populations, usually takes captive populations as rewilding resource. "
"2","wild","While, little is known about the compositional and functional differences of gut microbiota between captive and wild populations, especially for large carnivores, like Amur tiger. "
"3","wild","In this study, high throughput sequencing of the 16S ribosomal RNA (rRNA) gene (amplicon sequencing) and metagenomics were used to analyze the composition and function variations of gut microbiota communities between captive and wild Amur tiger populations based on total 35 fecal samples (13 from captive tigers and 22 from wild tigers). "
"4","wild","Our results showed that captive Amur tigers have higher alpha diversity in gut microbiota, but that the average unweighted UniFrac distance of bacterial taxa among wild Amur tigers was much larger. "
"5","wild","It was indicated that the diet habit and environment difference between captive and wild populations lead to composition differences of gut microbiota and then resulted in significant differences in functions. "
"6","wild","These contrasts of functional and compositional variations in gut microbiota between wild and captive Amur tigers are essential insights for guiding conservation management and policy decision-making, and call for more attention on the influence of gut microbiota on the ability of captive animals to survive in the wild. "
"7","wild","The increasing knowledge of gut microbiota is mainly derived from studies on animals that are germ-free and laboratory-based, which has limited application to animals in the wild (Kohl and Dearing, 2014; Kreisinger et  al., 2014). "
"8","wild","However, the wild population dropped sharply in the late 19th century, due to habitat fragmentation, indiscriminate poaching, and other caused by intensified human disturbance, leading it to be highly endangered throughout its range (Wang et al., 2018). "
"9","wild","The Chinese government has shown great effort to protect this endangered big cat, especially after the leaders of 13 countries reached the consensus on doubling the wild tiger population at St. "
"10","wild","What is more, the Siberian Tiger Park in Heilongjiang province of China, the largest captive breeding center for Amur tiger in the world keeps more than 1,400 individuals and could provide sufficient resources for reintroducing Amur tigers into the wild in China (http://www. dongbeihulinyuan.com/index.php, in Chinese). "
"11","wild","Their home-range size can often be  up to 390  km2 and predominantly prey on native medium and large ungulates, such as red deer (Cervus elaphus), wild boar (Sus scrofa), and roe deer (Capreolus pygargus; Jiang et al., 2014). "
"12","wild","While, captive individuals live in an environment greatly different from wild populations, both in diet and environment, and they are confined to a very limited area and fed duck, chicken, and beef daily. "
"13","wild","Even so, many relevant studies suggested that captive Amur tiger still retain the abilities of native prey recognition and has similar extent and distribution of genetic variation found within wild population (Henry et  al., 2009; Wang et  al., 2019). "
"14","wild","However, it is still unknown whether these substantial diet and environmental differences between captive and wild tigers would result in variations within gut microbiota, and how they may alter gut microbiota functionality. "
"15","wild","In this study, we conducted an analysis of the fecal microbial diversity and function in both wild and captive Amur tiger populations to investigate (1) the gut microbiota compositional variation between captive and wild tigers, (2) the core microbiota in Amur tigers, (3) the gut microbiota’s functional differences between captive and wild tigers, and (4) how the gut microbiota composition of the Amur tiger is related to its the functions? "
"16","wild","To guide the reintroduction of captive individuals to wild, our research systematically and comprehensively investigates the variations of gut microbiota between captive and wild Amur tigers to provide valuable references for further understanding co-development and co-evolution of gut microbiota between captive and wild large carnivores and to also provide important management considerations for the reintroduction of captive Amur tigers to the wild. "
"17","wild","MATERIALS AND METHODS Sampled Materials Fecal samples of Amur tigers were collected from both captive and wild individuals. "
"18","wild","16S rRNA Gene Sequencing We extracted microbial community genomes from frozen fecal samples of 22 wild individuals and 13 captive individuals using the E.Z.N.A."
"19","wild","Taxonomic data were then assigned to each representative sequence using the Ribosomal Database Project (RDP) classifier and used the Mann-Whitney U test to assess the significant differences between wild and captive tigers. "
"20","wild","To analyze the differences in core microbiome between captive and wild populations, the t test in the STAMP software was used to check for significant differences in genus levels between the sample groups. "
"21","wild","Metagenome Sequencing and Analysis To further explore the functions variation, we  filtrated six wild and six captive samples belonging different individuals for metagenomic sequencing analysis on Illumina sequencing HiSeq platform. "
