"","Keyword","Context"
"1","wild","Methods: Eight-week-old C57BL/6J wild-type (WT) and LDLr−/−ApoB100/100 (LRKO) male mice were fed for 12 and 24 wk, respectively, with a high-fat/high-sucrose diet [66% kcal lipids, 22% kcal carbohydrates (100% sucrose), 12% kcal proteins]. "
"2","wild","Abbreviations used: AOAC, Association of Official Agricultural Chemists; ASV, amplicon sequence variant; CO, cardiac output; CVD, cardiovascular disease; EF, ejection fraction; eWAT, epididymal white adipose tissue; FMP, fermented milk product; HFHS, high-fat high-sucrose; HR, heart rate; IDF, International Dairy Federation; iWAT, inguinal white adipose tissue; LAB, lactic acid bacteria; LEfSe, linear discriminant analysis effect size; LRKO, LDLr−/ApoB100/100 backcrossed on C57BL/6J background; LV, left ventricular; LVIDd, left ventricular interior diameter at end-diastole; LVOT, left ventricular outflow-tract diameter; MP, milk product; NAFLD, nonalcoholic fatty liver disease; NDP, nondairy protein; NPN, nonprotein nitrogen; OGTT, oral-glucose-tolerance test; PCoA, principal coordinate analysis; PFA, paraformaldehyde; rpWAT, retroperitoneal white adipose tissue; SMP, skim milk product; SV, stroke volume; T2D, type 2 diabetes; TG, triglyceride; TN, total nitrogen; UF, ultrafiltration; VCAM1, vascular adhesion molecule 1; WT, wild type; YP, yogurt product. "
"3","wild","Methods Animals Eight-week-old male C57BL/6J wild-type (WT) and in-house colony atherosclerotic LDLr−/ApoB100/100 backcrossed on C57BL/6J background (LRKO) mice were housed individually on a regulated daylight cycle at the Institute of Nutraceuticals and Functional Foods and at the Quebec Heart and Lung Institute facilities, respectively. "
"4","wild","ASV, amplicon sequence variant; FMP: fermented milk product; LRKO, LDLr−/ApoB100/100 backcrossed on C57BL/6J background; MP: milk product; NDP: nondairy protein; PCoA, principal coordinate analysis; WT, wild type; YP: yogurt product. "
"5","wild","FMP: fermented milk product; LDA, linear discriminant analysis; LRKO, LDLr−/ApoB100/100 backcrossed on C57BL/6J background; MP: milk product; NDP: nondairy protein; WT, wild type; YP: yogurt product. variance. "
"6","wild","FMP, fermented milk product; Ile, ileum; Jej, jejunum; LRKO, LDLr−/ApoB100/100 backcrossed on C57BL/6J background; MP, milk product; NDP, nondairy protein; p.d.u., protocol data unit; WT, wild type; YP, yogurt product. "
"7","wild","BW, body weight; FMP, fermented milk product; LRKO, LDLr−/ApoB100/100 backcrossed on C57BL/6J background; MP, milk product; NDP, nondairy protein; WT, wild type; YP, yogurt product. "
"8","wild","FMP, fermented milk product; LRKO, LDLr−/ApoB100/100 backcrossed on C57BL/6J background; MP, milk product; NDP, nondairy protein; OGTT, oral glucose tolerance test; RANTES, regulated upon activation, normal T Cell expressed and presumably secreted; WT, wild type; YP, yogurt product. "
"9","model","Objective: We evaluated whether dairy protein products modulated gut microbiota and cardiometabolic features in mouse models of diet-induced obesity and CVD. "
"10","model","In the current study, we evaluated the effect of a 50% replacement of nondairy protein (NDP) with protein from either fermented [i.e. fermented milk (FMP) and Greek-style yogurt (YP) protein] or nonfermented [i.e. milk protein (MP)] dairy protein, on the modulation of gut microbiota composition and cardiometabolic risk factors in 2 mouse models: diet-induced obesity and CVD. "
