"","Keyword","Context"
"1","wild","2021;11:9039–9048.  |  9039www.ecolevol.org 1  | INTRODUC TION Exposure to radioactive contamination can cause diverse problems for wildlife, such as decreased abundance of insects, impaired germination and development of plants, eye cataract in birds and mammals, or increased embryonic lethality and decreased reproduction in rodents (Cannon & Kiang, 2020). "
"2","wild","Email: boratyns@gmail.com Funding information Fulbright Foundation; Centre National de la Recherche Scientifique (CNRS); American Council for Learned Societies; National Geographic Society; National Science Foundation (NSF); Samuel Freeman Charitable Trust; SURA/LASSO/NASA visiting scientist program; University of South Carolina; Civilian Research and Development Foundation (CRDF) Abstract Anthropogenic stressors, such as radioactive contaminants released from the Chernobyl and Fukushima Daiichi accidents, deteriorate ecological and evolutionary processes, as evidence for damaging effects of radioactive contamination on wildlife is accumulating. "
"3","wild","We investigated variation in body temperature of wild barn swallows, Hirundo rustica, exposed to radioactive contamination from the Chernobyl accident in Ukraine and Belarus. "
"4","wild","These results highlight the complex ways that the body temperature of a wild bird is impacted by exposure to increased radioactive contamination in natural habitats. "
"5","wild","Here, we tested if exposure to radioactive contamination correlated with body temperature of wild barn swallows breeding in the Chernobyl area. "
"6","wild","To test these hypotheses, we analyzed a very large dataset (1,246 records) collected over 12 years for 13 colonies of wild barn swallows, Hirundo rustica, in an area encompassing low, medium, and highly contaminated regions of Ukraine and Belarus (Figure 1; Bonisoli Alquati et al., 2010). "
"7","wild","Birds of low body condition and high risk of capture that were measured late during the day but early during the F I G U R E 2   The effect of radioactive contamination level (Rad.), when interacting with body condition (a), risk of capture (b) and age of individuals (c), on core body temperature (predicted values) of wild barn swallows in the Chernobyl area. "
"8","wild","Recent studies indeed showed that radioactive exposure constrains natural variation in wild animal gut microbiota (Czirják et al., 2010; Lavrinienko et al., 2020, 2021). "
"9","wild","Based on our observations, it can be F I G U R E 3   The effect of radioactive contamination level (Rad.), when interacting with time (a) and date of capture (b), on core body temperature (predicted values) of wild barn swallows in the Chernobyl area. "
"10","wild","Predicted values were derived from analysis on log10 transformed, scaled, and centered variables (Table 1) F I G U R E 4   The effects (and their confidence intervals) of tonic immobility (a) and colony size (b) on body temperature (predicted values) of wild barn swallows in the Chernobyl area. "
"11","wild","To the best of our knowledge, this study is the first investigation of how radioactive contamination affects wild animal body temperature. "
"12","wild","Anders Pape Møller: Conceptualization (equal); data F I G U R E 5   The quadratic effects (and their confidence intervals) of body size (a; PC1) and body condition (b; PC2) on body temperature (predicted values) of wild barn swallows from the Chernobyl area, as derived from regression analysis on log10 transformed, scaled, and centered variables (Table 1) 9046  |     BORATYŃSKI eT Al. curation (equal); formal analysis (equal); funding acquisition (equal); investigation (equal); methodology (equal); writingreview & editing (equal). "
"13","wild","Ionizing radiation from Chernobyl affects development of wild carrot plants. "
"14","wild","A case study of Chernobyl wildlife chronically exposed to low dose rates. "
"15","wild","Exposure to environmental radionuclides is associated with altered metabolic and immunity pathways in a wild rodent. "
"16","wild","Comparable response of wild rodent gut microbiome to anthropogenic habitat contamination. "
"17","wild","Applying the Anna Karenina principle for wild animal gut microbiota: Temporal stability of the bank vole gut microbiota in a disturbed environment. "
"18","wild","Limited catching bias in a wild population of birds with near complete census information. "
"19","fitness","Damage to important organs can have serious consequences for animals' physiology, that can ultimately decrease fitness in Chernobyl animals (Ellegren et al., 1997; Lehmann et al., 2016). "
"20","fitness","Any disruption to their energy budget can potentially be harmful and have consequences for fitness (Boratyński et al., 2010, 2013; Boratyński & Koteja, 2010). "
"21","fitness","Fever has also been detected as chronic response (e.g., in timber industry workers exposed to pentachlorophenols used as antifungal wood treatment; Gordon, 2010), and fever can significantly affect animals' behavior and fitness (Adelman et al., 2010; Kluger et al., 1975; Sauer et al., 2019). "
