"","Keyword","Context"
"1","wild","Abbreviations used in this paper: APP, acute phase protein; CD45, cluster of differentiation 45; cDNA, complementary DNA; CoH, cohoused; DMEM, Dulbecco’s modified Eagle medium; DSS, dextran sulfate sodium; ELISA, enzyme-linked immunosorbent assay; FACS, fluorescence-activated cell sorter; FBS, fetal bovine serum; FITC, fluorescein isothiocyanate; GF, germ free; IBD, inflammatory bowel disease; IEC, intestinal epithelial cell; IL, interleukin; IL10R, interleukin-10 receptor; Lcn2, lipocalin 2; Lcn2KO, lipocalin 2 deficient; LPS, lipopolysaccharide; mAb, monoclonal antibody; MPO, myeloperoxidase; MyD88, myeloid differentiation primary response gene 88; NGAL, neutrophil gelatinase-associated lipocalin; PBS, phosphate-buffered saline; PCR, polymerase chain reaction; Rag1, recombination-activating gene 1; RBC, red blood cell; rRNA, ribosomal RNA; TLR, Toll-like receptor; TNF, tumor necrosis factor; WT, wild type. "
"2","adaptat","Immune adaptations that maintain homeostasis with the intestinal microbiota. "
"3","model","Herein, we investigated the extent to which Lcn2 regulates inflammation and gut bacterial dysbiosis in mouse models of IBD. "
"4","model","METHODS: Lcn2 expression was monitored in murine colitis models and upon microbiota ablation/restoration. "
"5","model","In addition, Lcn2 facilitates mucosal regeneration25,26 by promoting cell migration29 and by forming heterodimers with matrix metalloproteinase-9, a metalloproteinase involved in tissue repair.30 Although it is known that Lcn2 levels increased by several log orders of magnitude in various models of inflammation,11,23 including murine colitis7,8,31 and human IBD,6,32,33 the role of Lcn2 in such inflammatory states is not known. "
"6","model","Such Lcn2 expression helps keep microbiota in check, and consequently protects the intestine against colitis inmultiplemurinemodels.Materials and Methods Reagents and Antibodies Reagent grade dextran sulfate sodium salt (DSS) (reagent grade; molecular weight, 36–50 kilodaltons; catalog number 160110) was purchased from MP Biomedicals (Solon, OH). "
"7","model","Concomitantly, increased fecal flagellin, whichious murine models of colitis. "
"8","model","The gut bacterial dysbiosis and increased bacterial burden in Lcn2KO mice did not result in spontaneous gut inflammation but, rather, eventuated in increased expression of Paneth cell–specific antimicrobial proteins Ang4 and RegIII-g54 (Figure 3F), possibly to compensate for Lcn2 deficiency.Lcn2-Deficient Mice Are Susceptible to DSS-Induced Acute Colitis and Display Colitogenic T Cells Lcn2 prevents mucosal damage by promoting mucosal regeneration in an experimental model of gastric damage.29 However, mice lacking lipocalin-type prostaglandin D synthase, a member of the lipocalin family of proteins, are protected from DSS-induced colitis.55 However, it still is unclear whether Lcn2 show procolitogenic or anticolitogenic properties during IBD. "
"9","model","Accordingly, we used the adoptive T-cell transfer model of colitis to investigate the colitogenic potential of Lcn2-deficient T cells.Briefly, we transferred FACS-sorted CD4þCD25T cells from WT and Lcn2KO mice to Rag1KO mice and monitored induction of colitis. "
"10","model","Protein kinase R mediates intestinal epithelial gene remodeling in response to double-stranded RNA and live rotavirus. "
"11","knockout","Wild-type (WT) and Lcn2 knockout (Lcn2KO) mice were analyzed for gut bacterial load, composition by 16S ribosomal RNA gene pyrosequencing, and their colitogenic potential by co-housing with interleukin (Il)10KO mice. "
