"","Keyword","Context"
"1","wild","Blumsteina,d a Department of Ecology and Evolutionary Biology, University of California, 621 Young Drive South, Los Angeles, CA 90095-1606, USA b College of the Atlantic, Bar Harbor, ME 04260, USA c Department of Biology, Indiana University, Bloomington, IN 47405, USA d Rocky Mountain Biological Laboratory, Box 519, Crested Butte, CO 81224, USA A R T I C L E I N F O Keywords: Marmot Social behavior Reproductive success Glucocorticoid hormones Network metrics Social stress Cort-fitness hypothesis A B S T R A C T While it is generally accepted that social isolation has detrimental effects on social species, little is known about the importance of social interactions in less social species–particularly for wild reproductive females. "
"2","wild","Such studies may not be applicable to wild populations since artificially selected lineages may have altered social phenotypes (Chalfin et al., 2014; Künzl et al., 2003; Künzl and Sachser, 1999), and behavioral and endocrine responses have evolved in contexts characterized by multiple stressors. "
"3","wild","Here, we use long-term data on a wild population to study the association between the social environment and FGM levels of facultatively social females, and the impact of their FGM levels on offspring fitness. "
"4","wild","Smith et al. (2012) validated this method in both captive and wild yellow-bellied marmots, describing significant rise in FGM levels with stressors (biological and physiological validation) and significant effects of year, season, time of day, sex, age, reproductive status and individual identity. "
"5","wild","The final model had only Table 2 Results from linear mixed effects models explaining variation in maternal stress levels (measured through fecal glucocorticoid metabolite concentrations) in a wild yellow-bellied marmot population. "
"6","wild","Associations between social interactions and maternal fecal glucocorticoid metabolites (FGM) levels Overall, we found that social conditions are associated with maternal FGM levels in wild female yellow-bellied marmots. "
"7","wild","Table 3 Results from generalized linear mixed effects models explaining variation in pup care in a wild yellow-bellied marmot population. "
"8","wild","In wild marmots, we found that FGM levels are associated with pup care: females with high FGM levels are less likely to interact with pups. "
"9","wild","For instance, mothers in low quality environments or with high stress levels engage in more offspring-directed aggression in guinea pigs and rats (Rattus Table 4 Results from linear mixed effects models explaining variation in pup stress levels (measured through fecal glucocorticoid metabolite concentrations FGM) in a wild yellow-bellied marmot population. "
"10","wild","Maternal FGM before emergence Maternal FGM after emergence Fixed effect Estimate ± SE P Fixed effect Estimate ± SE P Intercept −0.57 ± 0.17 0.013 Intercept −0.50 ± 0.20 0.044 Maternal FGM before emergence 0.12 ± 0.05 0.028 – – – Random effect Variance SD Random effect Variance SD Mother identity 0.02 0.15 Mother identity 0.02 0.15 Pup identity 0.01 0.08 Pup identity 0.01 0.10 Year 0.17 0.41 Year 0.25 0.50 Table 5 Results from generalized linear mixed effects models explaining variation in offspring survival in a wild yellow-bellied marmot population. "
"11","wild","Maternal stress and plural breeding with communal care affect development of the endocrine stress response in a wild rodent. "
"12","wild","Mapping ecologically relevant social behaviours by gene knockout in wild mice. "
"13","wild","The behavioral endocrinology of domestication: a comparison between the domestic guinea pig (Cavia aperea f. porcellus) and its wild ancestor, the cavy (Cavia aperea). "
"14","wild","Is a wild mammal kept and reared in captivity still a wild animal? "
"15","wild","Hypercortisolism associated with social subordinance or social isolation among wild baboons. "
