"","Keyword","Context"
"1","wild","Nod2-deficient (Nod2e/e) mice had an inherently altered skin microbiome compared with wild-type controls. "
"2","wild","Furthermore, we found that Nod2e/e skin microbiome dominated and caused impaired healing, shown in cross-fostering experiments of wild-type pups with Nod2e/e pups, which then acquired altered cutaneous bacteria and delayed healing. "
"3","wild","To confirm whether Pseudomonas species directly impair wound healing, wild-type mice were infected with Pseudomonas aeruginosa biofilms and, akin to Nod2e/e mice, were found to exhibit a significant delay in wound repair. "
"4","wild","E-mail: sheena.cruickshank@manchester.ac.uk Abbreviations: AMP, antimicrobial peptide; DGGE, density gradient gel electrophoresis; PRR, pattern recognition receptor; qPCR, quantitative realtime PCR; WT, wild type Received 12 January 2017; revised 9 May 2017; accepted 18 May 2017; accepted manuscript published online 22 June 2017; corrected proof published online 23 September 2017 ª 2017 The Authors. "
"5","wild","Histologically, the skin of Nod2e/e mice was comparable to that of wild-type (WT) mice (Figure 1a). "
"6","wild","DGGE, density gradient gel electrophoresis; P, postnatal day; sp., species; UPGMA, unweighted pair group method with arithmetic mean; WT, wild type. "
"7","wild","Direct administration of P. aeruginosa to wild-type mouse wounds significantly delays healing Although we report wide-ranging changes in bacteria in Nod2e/e mice, a common theme across experiments waswww.jidonline.org 2429 ed R el at iv e C op y N um be r 12 * * 10 40 50 60 70 Similarity (%) 80 90 100 WT NS NS D3 D3 4 2 8 6 0 P.aeruginosa P.acnes S.aureus S.epidermidis b a c R el at iv e C op y N um be r 5 * 2 1 4 3 0 WT Nod2-/Nod2-/NS D3 WT Total Eubacterial Abundance Nod2-/N od 2/Nod2-/-Figure 2. "
"8","wild","D, day; FISH, fluorescence in situ hybridization; NS, normal skin; UPGMA, unweighted pair group method with arithmetic mean; WT, wild type. "
"9","wild","D, day; NS, normal skin; P, postnatal day; WT, wild type. "
"10","wild","WT, wild type. "
"11","wild","WT, wild type. "
"12","adaptation","Comparative genomics and functional analysis of niche-specific adaptation in Pseudomonas putida. "
