"","Keyword","Context"
"1","wild","Previously we reported that when streptomycin-treated miceare fed wild-type Escherichia coli MG1655, the intestine selects for nonmotile flhDC deletion mutants (1, 2) and envZ missense mutants (3), both of which are better colonizers than the wild type. "
"2","wild","We found that E. coli Nissle 1917 envZP41L is not a better probiotic, but like E. coli MG1655 envZP41L, it colonized an intestinal niche not colonized by wild-type E. coli Nissle 1917. "
"3","wild","E. coli Nissle 1917 Strr envZP41L galK::cat was restored to the Gal phenotype by allelic replacement (21), TABLE 1 Bacterial strains used in this studya E. coli strain Description Name used in text Source or reference EDL933 Strr Rifr Spontaneous rifampin-resistant mutant of EDL933 Strr EDL933 34 MG1655 Strr Spontaneous streptomycin-resistant mutant of MG1655 MG1655 3 MG1655 Strr Nalr Spontaneous nalidixic acid-resistant mutant of MG1655 Strr MG1655 3 MG1655 Strr mot-1 P41L envZ missense mutant of MG1655 Strr MG1655 envZP41L 3 MG1655 Strr mot-2 P148S envZ missense mutant of MG1655 Strr MG1655 envZP148S 3 MG1655 Strr mot-3 V33E envZ missense mutant of MG1655 Strr MG1655 envZV33E 3 MG1655 Strr Nalr mot-1 Spontaneous nalidixic acid-resistant mutant of MG1655 Strr mot-1 MG1655 envZP41L 3 MG1655 Strr Nalr mot-1 restored MG1655 Strr mot-1 restored to wild type with respect to EnvZ MG1655 envZP41L restored to wild type with respect to EnvZ 3 MG1655 Strr envZNis MG1655 Str r with the Nissle 1917 envZ gene MG1655 envZNis This study MG1655 Strr Nalr envZNis Spontaneous nalidixic acid-resistant mutant of MG1655 Str r envZNis MG1655 envZNis This study Nissle 1917 Strr Spontaneous streptomycin-resistant mutant of Nissle 1917 Nissle 1917 34 Nissle 1917 Strr Nalr Spontaneous nalidixic acid-resistant mutant of Nissle 1917 Strr Nissle 1917 34 Nissle 1917 Strr envZP41L Nissle 1917 Str r with the envZP41L gene in place of its own Nissle 1917 envZP41L This study Nissle 1917 Strr Nalr envZP41L Spontaneous nalidixic acid-resistant mutant of Nissle 1917 Strr envZP41L Nissle 1917 envZP41L This study Nissle 1917 Strr envZP41L restored Nissle 1917 Str r envZP41L restored to wild type with respect to EnvZ Nissle 1917 envZP41L restored to wild type with respect to EnvZ This study Nissle 1917 Strr galK::cat 912-bp deletion in galactokinase gene replaced by a chloramphenicol resistance cassette Nissle 1917 galK::cat This study Nissle 1917 Strr envZP41L galK::cat Same deletion as in Nissle 1917 Strr galK::cat Nissle 1917 envZP41L galK::cat This study Nissle 1917 Strr envZP41L galK:: cat restored Nissle 1917 Strr envZP41L galK::cat restored to wild type with respect to galK Nissle 1917 envZP41L galK::cat restored to wild type with respect to galK This study Nissle 1917 Strr Nalr envZP41L galK::cat restored Spontaneous nalidixic acid-resistant mutant of Nissle 1917 Strr envZP41L galK::cat restored Nissle 1917 envZP41L galK::cat restored to wild type with respect to galK This study F-18 Strr Rifr Spontaneous streptomycinand rifampin-resistant mutant of F-18 F-18 31 BW37751(pKD267)::Kanr The plasmid in this strain contains parE under the control of the rhamnose promoter and the kanamycin resistance gene pKD267 Barry Wanner a Strr, streptomycin resistant; Rifr, rifampin resistant; Nalr, nalidixic acid resistant; Kanr, kanamycin resistant. "
"4","wild","The E. coli MG1655 envZ gene was replaced with the E. coli Nissle 1917 wild-type envZ gene by an unpublished allelic replacement strategy developed by Barry Wanner and Kiryl Datsenko at Purdue University, as described previously (3). "
"5","wild","The same primers were used for replacement of the galK::cat mutation in E. coli Nissle 1917 Strr envZP41L galK::cat with the wild-type galK gene and for confirmation of the replacement by sequencing. "
"6","wild","The same analysis was applied to E. coli Nissle 1917 envZP41L restored to the wild type with respect to envZ, as well as E. coli Nissle 1917 (see Fig. "
"7","wild","Therefore, despite the two amino acid differences between the wild-type envZ genes of E. coli Nissle 1917 and E. coli MG1655, the E. coli Nissle 1917 envZ gene conferred no colonization advantage to E. coli MG1655. "
"8","wild","At low osmolality, the wild-type E. coli MG1655 strain had no detectable OmpRP, and at high osmolality, the OmpRP level in the wildtype strain was barely detectable (Fig. "
"9","wild","As expected (10), in the wild-type strain, OmpF was the major porin at low osmolalityFIG 1 Colonization of the mouse intestine by E. coli MG1655 and E. coli MG1655 envZNis. "
"10","wild","FIG 2 (A) OmpRP levels in E. coli MG1655 (wt), the MG1655 envZ missense mutants, and MG1655 envZP41L restored to the wild type, grown in the absence (low osmolality) or presence (high osmolality) of 15% sucrose. "
