"","Keyword","Context"
"1","wild","The number of TLR2 monocytes that produce tumor necrosis factor  increased in the intestinal lamina propria of wild-type mice following bile duct ligation; bacterial translocation was facilitated by TNFRI-mediated signals on intestinal epithelial cells. "
"2","wild","To assess reconstitution, GFP-expressing transgenic mice under a -actin promoter were used as bone marrow donors with wild-type mice as recipients. "
"3","wild","The entire median lobe of the liver was imaged using a polarizing filter and analyzed using National Institutes of Health ImageJ as described.18 Results are expressed relative to wild-type control ice. "
"4","wild","143, No. 5pared with wild-type C57BL/6 control mice (Figure 1A and B). "
"5","wild","Liver injury s measured by systemic alanine aminotransferase levels was ot significantly different in wild-type and TLR2/ mice 1 day or 3 weeks following bile duct ligation (Supplementary Figure 1), indicating that TLR2 does not mediate cholestatic hepatotoxicity but fibrosis progression. "
"6","wild","TLR2/ mice showed significantly less positive mesenteric lymph node cultures as compared with wild-type mice following bile duct ligation for 1 day (Figure 2A). "
"7","wild","Significantly lower systemic endotoxin levels were found in TLR2/ mice following bile duct ligation for 1 day or 3 weeks as compared with wild-type mice (Figure 2B and C). "
"8","wild","This is consistent with our study demonstrating that the colon shows the largest increase in intestinal permeability following 1 day of bile duct ligation.2 Translocation of GFP-expressing E coli from colonic loops to mesenteric lymph nodes was markedly attenuated in TLR2-deficient mice as compared with wildtype mice, suggesting that TLR2 is involved in regulation of the intestinal barrier function (Figure 2F). "
"9","wild","(F) Translocation of GFP-E oli from colonic loops to MLN as assessed in wild type (n  4) nd TLR2/ mice (n  5) 1 day after BDL. "
"10","wild","*P  .05.bone marrow chimeric mice in which donor and/or recipeients were either wild type or TLR2 deficient. "
"11","wild","In contrast, transplant recipients expressing TLR2 n hematopoietic cells showed bacteria translocated to he mesenteric lymph nodes, regardless of whether the one marrow recipient was wild type or TLR2 deficient Figure 3A). "
"12","wild","(A and B) CFUs were counted of mesenteric lymph node cultures (n  8–23), and plasma endotoxin (n  4–15) was measured in wild-type and TLR2 bone marrow chimeric mice 1 day after bile duct ligation (BDL). "
"13","wild","(C) TLR2, intracellular TNF- (n  4–5 independent experiments), and TLR2, IL-6 expression (n  3 independent experiments) of CD45.2, CD11b, Lys6C cells were assessed in colonic lamina propria of wild-type mice. "
"14","wild","(D) RhoA, phospho-MLC, and tubulin expression was assessed in isolated colon epithelial cells in wild-type and TLR2/ mice. "
"15","wild","(E) Occludin, claudin-4, and ZO-1 protein expression in intestinal sections of wild-type and TLR2/ mice were analyzed by immunofluorescence and Western blot analysis. "
"16","wild","Following 1 day of cholestatic liver injury, stain-ing for occludin protein was diminished as compared with sham-operated wild-type animals, as we have reported previously.2 Occludin expression was unchanged n the colon of TLR2-deficient mice after bile duct ligation Figure 3E and Supplementary Figure 5B). "
"17","wild","Similarly, exression of claudin-4 and ZO-1 was decreased 1 day after ile duct ligation in wild-type mice but not in TLR2/ mice (Figure 3E and Supplementary Figure 5B). "
