"","Keyword","Context"
"1","wild","In addition, its background strain, FVB, has been used for diet-induced obesity studies.Mdr1a2/2mice and wild-type (WT) mice were fed a HFD (;60% calories from fat) or a low-fat diet (LFD;;11% calories from fat) for 12 wk. "
"2","wild","6 Abbreviations used: CD, Crohns disease; DSS, dextran sodium sulfate; HFD, high-fat diet; IBD, inflammatory bowel disease; LFD, low-fat diet; MDR, multidrug resistance protein; MLN, mesenteric lymph node; PGP, P-glycoprotein; WT, wild type. ã 2013 American Society for Nutrition. "
"3","wild","D ow nloaded from https://academ ic.oup.com /jn/article/143/8/1240/4571596 by guest on 21 January 2022 have a more inflammation-prone ‘‘environment,’’ i.e., they have higher inflammatory cytokines and chemokines in circulation and in colonic tissues compared with wild-type (WT) controls even without exposure to disease-inducing bacteria (20,21). "
"4","wild","HFD, high-fat diet; HF-KO, Mdr1a2/2 mice fed the high-fat diet; HF-WT, WT mice fed the high-fat diet; LFD, low-fat diet; LF-KO, Mdr1a2/2 mice fed the low-fat diet; LF-WT, WT mice fed the low-fat diet; WT, wild type. "
"5","wild","HFD, high-fat diet; HF-KO, Mdr1a2/2 mice fed the high-fat diet; HF-WT, WT mice fed the high-fat diet; LFD, low-fat diet; LF-KO, Mdr1a2/2 mice fed the low-fat diet; LFWT, WT mice fed the low-fat diet; WT, wild type. "
"6","wild","HFD, high-fat diet; HF-KO, Mdr1a2/2 mice fed the high-fat diet; HF-WT, WT mice fed the high-fat diet; LFD, low-fat diet; LF-KO, Mdr1a2/2 mice fed the low-fat diet; LF-WT, WT mice fed the low-fat diet; WT, wild type. "
"7","wild","H&E, hematoxylin and eosin; HFD, high-fat diet; HF-KO, Mdr1a2/2 mice fed the high-fat diet; HF-WT, WT mice fed the high-fat diet; IBD, inflammatory bowel disease; LFD, low-fat diet; LF-KO, Mdr1a2/2 mice fed the low-fat diet; HFD-induced LFWT, WT mice fed the low-fat diet; WT, wild type. "
"8","wild","H&E, hematoxylin and eosin; HF-KO,Mdr1a2/2 mice fed the high-fat diet; HF-WT, WT mice fed the high-fat diet; LF-KO, Mdr1a2/2 mice fed the low-fat diet; LF-WT, WT mice fed the low-fat diet; MLN, mesenteric lymph node; WT, wild type. "
"9","adaptat","Early mitochondrial adaptations in skeletal muscle to diet-induced obesity are strain dependent and determine oxidative stress and energy expenditure but not insulin sensitivity. "
"10","mutant","Foucaud-Vignault et al. (47) reported that another PGP mutant strain, Mdr1ab2/2 mice (lacking both Mdr1a and 1b), develop obesity and abnormal glucose metabolism with age compared with WT mice when fed either a LFD or HFD. "
"11","inbred","Hyperand hypo-responsiveness to dietary fat and cholesterol among inbred mice: searching for level and variability genes. "
"12","model","Obese animals and humans have increased levels of both systemic (serum IL-6 and TNFa) and localized (liver and adipose) inflammatory cytokines and chemokines (2–4), similar to increases in proinflammatory molecules in animal models of IBD as well as patients with Crohns disease (CD) and ulcerative colitis (5–10). "
"13","model","To explore this association, we examined whether an obesity-inducing high-fat diet (HFD) could also accelerate IBD development and progression using a genetically susceptible mouse model of IBD, Mdr1a2/2mice. "
"14","model","The onset of IBD in this model is associated with the presence of commensal bacteria and thus can be prevented by treatment with broad-spectrum antibiotics in mice housed in specific pathogen-free facilities (7,20)."
"15","model","Our studies were designed to address whether dietinduced obesity increases the risk of spontaneous IBD in this murine model. "
"16","model","Obesity and inflammatory bowel disease 1243 D ow nloaded from https://academ ic.oup.com /jn/article/143/8/1240/4571596 by guest on 21 January 2022 To test our hypothesis, we chose an animal model that has features resemblingCD:Mdr1a2/2mice (7). "
